requirement_id,requirement_title,source_type,source_ref,prototype_ref,acceptance_ids
FR-001,用户注册,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-a-账户与身份,,AC-001
FR-002,用户登录,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-a-账户与身份,,AC-002
FR-003,用户退出登录,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-a-账户与身份,,AC-003
FR-004,基于角色展示不同功能入口,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-a-账户与身份,,AC-004
FR-005,活动广场,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-b-活动浏览与发现,,AC-005
FR-006,活动搜索,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-b-活动浏览与发现,,AC-006
FR-007,按类型、时间、状态等条件筛选,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-b-活动浏览与发现,,AC-007
FR-008,活动详情查看,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-b-活动浏览与发现,,AC-008
FR-009,在线报名活动,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-c-学生报名,,AC-009
FR-010,查看报名结果,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-c-学生报名,,AC-010
FR-011,查看个人已报名活动,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-c-学生报名,,AC-011
FR-012,在报名截止前取消报名,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-c-学生报名,,AC-012
FR-013,创建活动草稿,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-d-活动负责人工作台,,AC-013
FR-014,编辑未结束活动的基础信息,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-d-活动负责人工作台,,AC-014
FR-015,提交活动审核,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-d-活动负责人工作台,,AC-015
FR-016,查看审核状态和审核意见,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-d-活动负责人工作台,,AC-016
FR-017,查看自己发起活动的报名名单与人数统计,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-d-活动负责人工作台,,AC-017
FR-018,查看待审核活动列表,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-e-管理员审核与发布,,AC-018
FR-019,查看活动详情和关键字段,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-e-管理员审核与发布,,AC-019
FR-020,审核通过,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-e-管理员审核与发布,,AC-020
FR-021,审核驳回并填写驳回原因,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-e-管理员审核与发布,,AC-021
FR-022,查看已发布、已驳回、已下线活动,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-e-管理员审核与发布,,AC-022
FR-023,平台活动数量统计,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-f-统计与记录,,AC-023
FR-024,报名人数统计,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-f-统计与记录,,AC-024
FR-025,最近审核记录,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-f-统计与记录,,AC-025
FR-026,最近报名记录,brief,校园活动策划与报名管理平台-product-brief-7-功能范围-7-1-本期必须覆盖的功能范围-f-统计与记录,,AC-026
NFR-001,普通学生应能在较少步骤内完成“浏览 -> 查看详情 -> 报名”流程。,brief,校园活动策划与报名管理平台-product-brief-11-非功能目标-11-1-易用性,,
NFR-002,活动负责人应能明确看到活动当前状态和下一步可执行操作。,brief,校园活动策划与报名管理平台-product-brief-11-非功能目标-11-1-易用性,,
NFR-003,管理员应能快速识别待处理活动并完成审核。,brief,校园活动策划与报名管理平台-product-brief-11-非功能目标-11-1-易用性,,
